Name,Official Name,Company Number,Jurisdiction,Previous Names,SIC code,Incorporation Date,Company Type,Street,Postal,Locality,Region,Latitude,Longitude,Phone,Mobile,Fax,Website,Email,Products,Service,Keyword,Brands,Service Areas,Contact Person,Contact Phone,Facilities,Breadcrumbs,Payment Methods,Social Media,Categories,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,URL, All Categories
WHEELIE SERIOUS LTD,WHEELIE SERIOUS LTD,10559975,England/Wales,NA,33170 - Repair and maintenance of other transport equipment n.e.c.,12 Jan 2017,NA,16 Yaverland Drive,GU19 5DX,Bagshot ,Surrey England,51.358242,-0.699134,07980 658749,NA,NA,www.wheelieserious.co.uk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,11:30 - 21:30,11:30 - 21:30,09:00 - 21:30,Closed,11:30 - 21:30,11:30 - 21:30,11:30 - 21:30,https://bagshot.cylex-uk.co.uk/company/wheelie-serious-ltd-25989070.html,
Dolwen Farms Ltd,DOLWEN FARMS LTD,06755741,England/Wales,NA,1420 - Raising of other cattle and buffaloes,24 Nov 2008,Private Limited Company,DOLWEN ,SY21 0JJ,Llanerfyl ,Powys Wales,52.647710,-3.532847,NA,NA,NA,,NA,NA,NA,"Livestock Farming, Sheep Farming, Mining Services, Animal Production, Quarrying Services, Goat Farming",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://llanerfyl.cylex-uk.co.uk/company/dolwen-farms-ltd-21269369.html,"Agriculture & Forestry Llanerfyl,Livestock Services Llanerfyl,Livestock & Animal Production Llanerfyl,Agriculture & Forestry,Livestock Services,Livestock & Animal Production,Industry & Manufacturing,Mining Services,Quarrying & Mining"
The Ascot Group,NA,NA,NA,NA,NA,NA,NA,43 Yaverland Dr ,GU19 5DX,Bagshot ,Surrey England,51.358281,-0.699263,07914 954094,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,09:00 - 17:00,09:00 - 17:00,Closed,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,https://bagshot.cylex-uk.co.uk/company/the-ascot-group-26626908.html,
Stevens Heating,NA,NA,NA,NA,NA,NA,NA,29 Yaverland Dr ,GU19 5DX,Bagshot ,Surrey England,51.358200,-0.698221,07850 741221,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bagshot.cylex-uk.co.uk/company/stevens-heating-26871393.html,
Stud Farm Gallery-Framing,NA,NA,NA,NA,NA,NA,NA,UPPER YELD ROAD ,DE45 1JB,Bakewell ,Derbyshire England,53.207245,-1.680048,01629 814610,NA,NA,,NA,"Greeting Cards, Pictures, Glassware, Ceramics, Fine Art",NA,"Photo Framing, Picture Services, Picture and Photo Framing Services, Print, Gallery, Orginals",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/stud-farm-gallery-framing-15805931.html,"Arts, Entertainment & Nightlife Bakewell,Arts & Crafts Bakewell,Picture Framing Services Bakewell,Arts, Entertainment & Nightlife,Arts & Crafts,Picture Framing Services"
Swangrove Estates Limited,SWANGROVE ESTATES LIMITED,00662926,England/Wales,NA,01500 - Mixed farming,22 Jun 1960,Private Limited Company,THE ESTATE OFFICE ,GL9 1DD,Badminton ,Gloucestershire England,51.543223,-2.282853,07799 648929,NA,NA,,NA,NA,NA,"Mixed Farming, Farming",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://badminton.cylex-uk.co.uk/company/swangrove-estates-limited-22875105.html,"Agriculture & Forestry Badminton,Farming Badminton,Farms Badminton,Agriculture & Forestry,Farming,Farms"
Bacup Health Centre,NA,NA,NA,NA,NA,NA,NA,1 YORKSHIRE STREET,OL13 9AL,Bacup ,Lancashire England,53.703671,-2.200172,01706 708200,01706 708234,NA,,NA,NA,NA,NHS,NA,NA,NA,NA,NA,NA,,NA,"Hospitals and Medical Establishments, Clinic, NHS Clinics",NA,NA,NA,NA,NA,NA,NA,https://bacup.cylex-uk.co.uk/company/bacup-health-centre-13692017.html,"Health & Medicine Bacup,Medical Facilities Bacup,Clinics & Medical Centres Bacup,Health & Medicine,Medical Facilities,Clinics & Medical Centres"
Swangrove Holdings Limited,SWANGROVE HOLDINGS LIMITED,00747748,England/Wales,NA,70100 - Activities of head offices,23 Jan 1963,Private Limited Company,THE ESTATE OFFICE ,GL9 1DD,Badminton ,Gloucestershire England,51.543223,-2.282853,NA,NA,NA,,NA,NA,NA,"Consultancy, Head Office, Corporate Head Office Management",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://badminton.cylex-uk.co.uk/company/swangrove-holdings-limited-22875106.html,"Business & Professional Services Badminton,Business Consultants Badminton,Business & Management Consultants Badminton,Business & Professional Services,Business Consultants,Business & Management Consultants"
G Fearn Spa & Pool Services,NA,NA,NA,NA,NA,NA,NA,"HILLCREST, UPPER YELD RD ",DE45 1JB,Bakewell ,Derbyshire England,53.207245,-1.680048,01629 812410,01629 812414,NA,,NA,NA,NA,"Swimming Pool Contractors, Repairers Service",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/g-fearn-spa---pool-services-14371495.html,"Construction & Contractors Bakewell,Swimming Pool Contractors Bakewell,Construction & Contractors,Swimming Pool Contractors"
Rafel Holiday Cottage,NA,NA,NA,NA,NA,NA,NA,RAFEL ,LL23 7YU,Parc ,Gwynedd Wales,52.894802,-3.657329,01678 540369,NA,NA,,NA,NA,NA,"Accommodation, Guest House",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://parc.cylex-uk.co.uk/company/rafel-holiday-cottage-13908790.html,"Travel & Tourism Parc,Accommodation Parc,Hotels Parc,Travel & Tourism,Accommodation,Hotels"
Abs Metals And Waste Limited,ABS METALS AND WASTE LIMITED,06702744,England/Wales,NA,38210 - Treatment and disposal of non-hazardous waste,19 Sep 2008,Private Limited Company,"PEACEHAVEN 14 CALTON VIEW, YELD ROAD ",DE45 1FN,Bakewell ,Derbyshire England,53.210285,-1.679216,NA,NA,NA,,NA,NA,Waste Disposal,"Waste Treatment, Non-Hazardous Waste Disposal",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/abs-metals-and-waste-limited-20994373.html,"Industry & Manufacturing Bakewell,Scrap & Waste Merchants Bakewell,Industry & Manufacturing,Scrap & Waste Merchants"
Lancashire Lad Collectables,NA,NA,NA,NA,NA,NA,NA,"9 -11 ,YORKSHIRE STREET ",OL13 9AE,Bacup ,Lancashire England,53.703615,-2.200106,07920 449581,NA,NA,www.ebay.co.uk/str/lancashireladcollectables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,https://www.facebook.com/LancashireLadCollectables,NA,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,Closed,Closed,Closed,10:00 - 16:00,https://bacup.cylex-uk.co.uk/company/lancashire-lad-collectables-26554312.html,
Wykham Park Farm,NA,NA,NA,NA,NA,NA,NA,"Wykham Park Farm, Wykham Lane ",OX16 9UP,Banbury ,Oxfordshire England,52.039154,-1.352723,01295 262235,01295 252323,NA,wykhampark.co.uk,NA,"Lamb, Pork, Sheep, Cereals",NA,"Farm Shop, Pick Your Own Produce, Local Produce, Ranch, Smallholdings, Retailers, Farming, Livestock, Animal Farming, Livestock Farming, Farm, Land, Environment, Conservation, Foods, Grange, Croft, Homestead, Plantation, Organic, Specialty Grocery Store, Pick Your Own, Preserves, Woodlands, Holdings, Asparagus, Sustainable Farming, Vegetable Crops, Farming Livestock and Other Animals, Wykham Park Farm",NA,NA,NA,NA,NA,NA,,"https://www.facebook.com/wykhamPark,https://twitter.com/intent/user?screen_name=wykhamp&original_referer=https%3a%2f%2fbanbury.cylex-uk.co.uk%2fcompany%2fwykham-park-farm-16563517.html","food & grocery, food/grocery",08:30 - 17:30,08:30 - 17:30,08:30 - 17:30,10:00 - 16:00,08:30 - 17:30,08:30 - 17:30,08:30 - 17:30,https://banbury.cylex-uk.co.uk/company/wykham-park-farm-16563517.html,"Food & Beverages Banbury,Food Retailers Banbury,Best Farm Shops & Farmers' Markets Banbury,Food & Beverages,Food Retailers,Farm Shops & Farmers' Markets"
Linear Fencing & Landscaping,NA,NA,NA,NA,NA,NA,NA,82 Wykham Pl ,OX16 9HZ,Banbury ,Oxfordshire England,52.049773,-1.345605,01295 270772,NA,NA,www.linearlandscaping.co.uk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://banbury.cylex-uk.co.uk/company/linear-fencing---landscaping-26440722.html,
Exalted Brickwork,EXALTED BRICKWORK LTD,09394576,England/Wales,NA,41202 - Construction of domestic buildings,19 Jan 2015,Private Limited Company,11 Wykham Place,OX16 1WH,Banbury ,Oxfordshire England,52.050783,-1.345332,07595 541973,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,https://www.facebook.com/Exalted-Brickwork-822034351198862/about/,Builders,NA,NA,NA,NA,NA,NA,NA,https://banbury.cylex-uk.co.uk/company/exalted-brickwork-24377689.html,"Construction & Contractors Banbury,Builders Banbury,Construction & Contractors,Builders"
Alford Pallet Recycling,NA,NA,NA,NA,NA,NA,NA,Station Rd ,OX18 2AR,Bampton ,Oxfordshire England,51.738019,-1.551077,01993 852102,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bampton-west-oxfordshire.cylex-uk.co.uk/company/alford-pallet-recycling-26952168.html,
McEwan Contract Beds,NA,NA,NA,NA,NA,NA,NA,"7, WILLOW TREE PLACE ",EH14 5AZ,Balerno ,City Of Edinburgh Scotland,55.890286,-3.334467,0131 449 7525,NA,NA,,NA,Pillowcases,NA,"Bedding, Bedclothes, Bedcovers, Pillow Shams",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://balerno.cylex-uk.co.uk/company/mcewan-contract-beds-17069926.html,"Home & Garden Balerno,Beds & Bedding Balerno,Home & Garden,Beds & Bedding"
Trevor Gardner,NA,NA,NA,NA,NA,NA,NA,"TREVINE, STATION ROAD ",OX18 2LQ,Bampton ,Oxfordshire England,51.748155,-1.553962,01993 850536,NA,NA,,NA,NA,"Kitchen Installation, Kitchen Fitting","Kitchen Installers, Kitchen Fitters",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bampton-west-oxfordshire.cylex-uk.co.uk/company/trevor-gardner-13291173.html,"Construction & Contractors Bampton,Home Improvement Bampton,Kitchen Planning & Fitting Bampton,Construction & Contractors,Home Improvement,Kitchen Planning & Fitting"
Seven Sisters Miners' Welfare Social Club Limited,SEVEN SISTERS MINERS' WELFARE SOCIAL CLUB LIMITED,05995517,England/Wales,NA,56301 - Licensed clubs,10 Nov 2006,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",HEOL Y FELIN ,SA10 9BN,Seven Sisters ,Neath Port Talbot Wales,51.771606,-3.702962,01639 700293,NA,NA,,NA,NA,NA,"Club, Social Club, Night Clubs",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://seven-sisters.cylex-uk.co.uk/company/seven-sisters-miners%27-welfare-social-club-limited-22831724.html,"Community & Government Seven Sisters,Organisations, Associations & Clubs Seven Sisters,Community & Government,Organisations, Associations & Clubs,Social Clubs,Community & Government,Organisations, Associations & Clubs,Arts, Entertainment & Nightlife,Nightclubs"
Herbert G Pheasey,NA,NA,NA,NA,NA,NA,NA,"STRATHMORE, WYEDALE DRIVE ",DE45 1BB,Bakewell ,Derbyshire England,53.207615,-1.670643,01629 812151,NA,NA,,NA,NA,NA,Haulage Contractors,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/herbert-g-pheasey-17270868.html,"Transportation Bakewell,Ground Transportation Bakewell,Road Haulage & Freight Forwarding Bakewell,Transportation,Ground Transportation,Road Haulage & Freight Forwarding"
Ddraig Y Bryn (Bryn Social Club),NA,NA,NA,NA,NA,NA,NA,"13-15, Gwilym Rd, Cwmllynfell ",SA9 2GH,Cwmllynfell ,Carmarthenshire Wales,51.799371,-3.818132,01639-830225,NA,NA,,NA,Dartboards,NA,"Social Club, Leisure, Pubs, Bars, Sports Club, Clubs & Associations, Night Clubs, Function Rooms, Pool Tables, Leisure Club, Beer Gardens",NA,NA,NA,NA,"beer garden, function room, outside area, comedy, dart board, karaoke, live music, pool table, quiz nights, football",NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://cwmllynfell.cylex-uk.co.uk/company/ddraig-y-bryn--bryn-social-club--18741481.html,"Community & Government Cwmllynfell,Organisations, Associations & Clubs Cwmllynfell,Social Clubs Cwmllynfell,Community & Government,Organisations, Associations & Clubs,Social Clubs"
Seven Sisters Welfare Association,NA,NA,NA,NA,NA,NA,NA,"Institute Buildings, Heol-Y-Felin ",SA10 9BN,Seven Sisters ,Neath Port Talbot Wales,51.772077,-3.702722,01639 700293,NA,NA,,NA,NA,Entertainment,"Social Club, Social Clubs & Associations, Leisure, Sports, Associations, Social Services, Leisure Cultural, Clubs & Associations",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://seven-sisters.cylex-uk.co.uk/company/seven-sisters-welfare-association-15686553.html,"Community & Government Seven Sisters,Organisations, Associations & Clubs Seven Sisters,Social Clubs Seven Sisters,Community & Government,Organisations, Associations & Clubs,Social Clubs"
Nantycafan Social Club,NA,NA,NA,NA,NA,NA,NA,DULAIS ROAD ,SA10 9EY,Seven Sisters ,Neath Port Talbot Wales,51.753624,-3.727601,01639 700284,NA,NA,,NA,NA,Entertainment,"Associations, Club, Clubs & Associations, Leisure, Pubs, Sports, Bars, Leisure Cultural, Night Clubs",NA,NA,NA,NA,NA,NA,,NA,NA,19:00 - 23:00,12:00 - 23:00,NA,NA,Closed,Closed,19:00 - 23:00,https://seven-sisters.cylex-uk.co.uk/company/nantycafan-social-club-13977974.html,"Community & Government Seven Sisters,Organisations, Associations & Clubs Seven Sisters,Community & Government,Organisations, Associations & Clubs"
Robert Hodgson,NA,NA,NA,NA,NA,NA,NA,26 WYEDALE CRESCENT ,DE45 1BE,Bakewell ,Derbyshire England,53.205065,-1.668509,01629 813202,NA,NA,,NA,NA,Driver Training Courses,NA,NA,NA,NA,NA,NA,NA,,NA,"Driving Schools, Driving School Instructor, Driving Instructors",NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/robert-hodgson-17255534.html,"Education Bakewell,Schools Bakewell,Driving Schools Bakewell,Education,Schools,Driving Schools"
Abercrave and District Miners Welfare Association Social Club Limited,ABERCRAVE AND DISTRICT MINERS WELFARE ASSOCIATION SOCIAL CLUB LIMITED,02684195,England/Wales,NA,94990 - Activities of other membership organizations n.e.c.,04 Feb 1992,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","ABERCRAVE AND DISTRICT MINERS, WELFARE ASSOCIATION",SA9 1XA,Abercrave ,Powys Wales,51.801447,-3.719895,NA,NA,NA,,NA,NA,NA,"Business Organisations, Membership Organisations",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://abercrave.cylex-uk.co.uk/company/abercrave-and-district-miners-welfare-association-social-club-limited-22271203.html,"Community & Government Abercrave,Organisations, Associations & Clubs Abercrave,Business & Trade Organisations Abercrave,Community & Government,Organisations, Associations & Clubs,Business & Trade Organisations"
Meadow Croft - Bakewell,NA,NA,NA,NA,NA,NA,NA,2 Wyebank Grove,DE45 1BJ,Bakewell ,Derbyshire England,53.208639,-1.669094,07447 030080,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"American Express,Cash,Cheque,MasterCard,Visa",https://www.facebook.com/?fref=ts,NA,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,https://bakewell.cylex-uk.co.uk/company/meadow-croft---bakewell-26499167.html,
Cns (Swansea) Limited,CNS (SWANSEA) LIMITED,07097261,England/Wales,C/O Griffith & Miles Charter Court Phoenix Way Enterprise Park Swansea Wales SA7 9FS Wales,9900 - Support activities for other mining and quarrying,07 Dec 2009,Private Limited Company,"RIVERSIDE GARAGE CAERBONT, YSTRADGYNLAIS",SA9 1SH,Caerbont ,Powys Wales,51.793328,-3.736335,NA,NA,NA,,NA,NA,Civil Engineering,"Road Haulage, Business Organisations, Government Services, Mining Services, Site Preparation Services, Quarrying Services",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://caerbont.cylex-uk.co.uk/company/cns--swansea--limited-22399091.html,"Community & Government Caerbont,Organisations, Associations & Clubs Caerbont,Business & Trade Organisations Caerbont,Community & Government,Organisations, Associations & Clubs,Business & Trade Organisations,Construction & Contractors,Engineering,Civil Engineering,Transportation,Ground Transportation,Road Haulage & Freight Forwarding,Industry & Manufacturing,Mining Services,Quarrying & Mining,Community & Government,Government Services,Construction & Contractors,Site Preparation Contractors"
R Hughes,NA,NA,NA,NA,NA,NA,NA,1 Woodside Drive ,DE45 1ER,Bakewell ,Derbyshire England,53.209906,-1.674294,01629 812640,NA,NA,,NA,NA,NA,"Veterinarian, Vets, Animal Health, Animal Disease, Veterinary, Veterinary Surgeons & Practitioners, Veterinary Services, Practitioner",NA,NA,NA,NA,NA,NA,,NA,Surgeons,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/r-hughes-16380220.html,"Pets & Animals Bakewell,Veterinary Services Bakewell,Veterinarians Bakewell,Pets & Animals,Veterinary Services,Veterinarians"
L 2 B PROJECTS LIMITED,L 2 B PROJECTS LIMITED,09527519,England/Wales,NA,82990 - Other business support service activities n.e.c.,07 Apr 2015,Private Limited Company,Diamond House Diamond Court ,DE45 1EW,Bakewell ,Derbyshire England,53.213008,-1.674420,NA,NA,NA,,NA,NA,NA,Business Support,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/l-2-b-projects-limited-24651159.html,"Business & Professional Services Bakewell,Business Consultants Bakewell,Business & Management Consultants Bakewell,Business & Professional Services,Business Consultants,Business & Management Consultants"
PCP Limited ,CRYNANT CONSULTING LIMITED,04690356,England/Wales,NA,62020 - Information technology consultancy activities,07 Mar 2003,Private Limited Company,100 Main Road ,SA10 8NT,Crynant ,Neath Port Talbot Wales,51.733650,-3.748976,01639 751083,01639 750876,07968 599137,www.pcplimited.com,NA,NA,"accountancy training, audit, audit compliance review, audit planning, audit file review, practice management","IT Services, Accountants, Accountancy, Management Consultants, IT Consultants, Business Consultants, Consultancy, Training, Design Consultants, Industrial Design, Management, Developments, Skills, IT Training, Compliance Reviews",NA,NA,NA,NA,NA,NA,,"https://twitter.com/intent/user?screen_name=PCPLimited&original_referer=https%3a%2f%2fcrynant.cylex-uk.co.uk%2fcompany%2fpcp-limited--12766411.html,https://www.linkedin.com/company/pcp-limited",NA,NA,NA,NA,NA,NA,NA,NA,https://crynant.cylex-uk.co.uk/company/pcp-limited--12766411.html,"Finance Crynant,Financial Services Crynant,Accounting & Bookkeeping Crynant,Finance,Financial Services,Accounting & Bookkeeping,Electronics & Technology,Computer Services,IT Services,Business & Professional Services,Business Consultants,Business & Management Consultants"
Tir Canol Holdings Limited,TIR CANOL HOLDINGS LIMITED,03999086,England/Wales,NA,68209 - Other letting and operating of own or leased real estate,22 May 2000,Private Limited Company,GLYNCYNWAL UCHAF FARM ,SA9 2QQ,Lower Cwmtwrch ,Powys Wales,51.788665,-3.786498,NA,NA,NA,,NA,NA,NA,"Estate Agents, Business Organisations, Real Estate, Consultancy, Head Office, Corporate Head Office Management",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://lower-cwmtwrch.cylex-uk.co.uk/company/tir-canol-holdings-limited-22142205.html,"Community & Government Lower Cwmtwrch,Organisations, Associations & Clubs Lower Cwmtwrch,Business & Trade Organisations Lower Cwmtwrch,Community & Government,Organisations, Associations & Clubs,Business & Trade Organisations,Real Estate,Real Estate Services,Estate Agents,Business & Professional Services,Business Consultants,Business & Management Consultants"
Lin Oliver,NA,NA,NA,NA,NA,NA,NA,Onllwyn Road,SA10 9NS,Neath ,Neath Port Talbot Wales,51.785761,-3.678966,07774 718663,NA,NA,www.linoliver.co.uk,NA,NA,"Bookkeeping ,  Accounts ,  Payroll ,  VAT ,  CIS ,  Self-Assessment ,  Secretarial ,  Office Administration","Bookkeeping, Payroll, Vat, Accounts, Secretarial, Self Assessment, Cis, Office Administration Services",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://neath.cylex-uk.co.uk/company/lin-oliver-26260621.html,"Finance Neath,Financial Services Neath,Best Accounting & Bookkeeping Neath,Finance,Financial Services,Accounting & Bookkeeping"
Accounts and Payroll Limited,ACCOUNTS AND PAYROLL LIMITED,04405834,England/Wales,37 Anson Road Wolverton Milton Keynes Buckinghamshire MK12 5BY,69201 - Accounting and auditing activities,28 Mar 2002,Private Limited Company,GLAN YR AFON HOUSE 30 WALTERS ROAD ,SA9 2FH,Cwmllynfell ,Carmarthenshire Wales,51.798533,-3.816764,NA,NA,NA,,NA,NA,NA,"Accountants, Accounting, Auditing",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://cwmllynfell.cylex-uk.co.uk/company/accounts-and-payroll-limited-20113489.html,"Finance Cwmllynfell,Financial Services Cwmllynfell,Accounting & Bookkeeping Cwmllynfell,Finance,Financial Services,Accounting & Bookkeeping"
Heritage Accountancy,NA,NA,NA,NA,NA,NA,NA,23 Ynys Fawr Ave ,SA11 4LS,Resolven ,Neath Port Talbot Wales,51.712466,-3.692174,01639 711158,NA,NA,,NA,NA,"Accountancy ,  Taxation ,  Payroll Services ,  Partnerships ,  Sole Traders ,  Small Limited Companies ,  Business Development ,  Training","Accountancy, Business Development, Taxation Services, Training, Payroll Services, Partnership, Sole Traders, Small Limited Companies",NA,NA,NA,NA,NA,NA,,https://www.facebook.com/HeritageAccountancyLtd,NA,09:00 - 17:00,09:00 - 17:00,Closed,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,https://resolven.cylex-uk.co.uk/company/heritage-accountancy-26259263.html,"Finance Resolven,Financial Services Resolven,Accounting & Bookkeeping Resolven,Finance,Financial Services,Accounting & Bookkeeping"
ROGER BYERS & CO LIMITED,ROGER BYERS & CO LIMITED,09131620,England/Wales,NA,69201 - Accounting and auditing activities,15 Jul 2014,Private Limited Company,Swn Yr Afon Felinfach ,SA9 2XR,Ystradowen ,Carmarthenshire Wales,51.792302,-3.807929,NA,NA,NA,,NA,NA,NA,"Accountants, Auditing",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradowen-carmarthenshire.cylex-uk.co.uk/company/roger-byers---co-limited-25387163.html,"Finance Ystradowen,Financial Services Ystradowen,Accounting & Bookkeeping Ystradowen,Finance,Financial Services,Accounting & Bookkeeping"
