Name,Official Name,Company Number,Jurisdiction,Previous Names,SIC code,Incorporation Date,Company Type,Street,Postal,Locality,Region,Latitude,Longitude,Phone,Mobile,Fax,Website,Email,Products,Service,Keyword,Brands,Service Areas,Contact Person,Contact Phone,Facilities,Breadcrumbs,Payment Methods,Social Media,Categories,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,URL, All Categories
BECKETT LANE LIMITED,BECKETT LANE LIMITED,08940635,England/Wales,NA,69201 - Accounting and auditing activities,14 Mar 2014,Private Limited Company,3 Martyns Avenue ,SA10 9DP,Seven Sisters ,Neath Port Talbot Wales,51.765653,-3.714129,01639 700133,07890 312060,NA,www.beckett-lane.co.uk,NA,NA,"Payroll ,  Bookkeeping ,  Vat Returns ,  Management Accounts ,  Accounting Services","Accountants, Accounting, Bookkeeping, Management Accounts, Auditing, Payroll, VAT Return",NA,NA,NA,NA,NA,NA,,https://www.facebook.com/BeckettLaneLtd/info,NA,09:00 - 17:00,09:00 - 17:00,Closed,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,https://seven-sisters.cylex-uk.co.uk/company/beckett-lane-limited-24106119.html,"Finance Seven Sisters,Financial Services Seven Sisters,Accounting & Bookkeeping Seven Sisters,Finance,Financial Services,Accounting & Bookkeeping"
Ace Coin Equipment Ltd,ACE COIN EQUIPMENT LTD,07827365,England/Wales,NA,99999 - Dormant Company,28 Oct 2011,Private Limited Company,UNIT 10 GURNOS IND EST BETHEL ROAD ,SA9 2HW,Ystalyfera ,Neath Port Talbot Wales,51.772036,-3.779565,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Dormant Companies,NA,NA,NA,NA,NA,NA,NA,https://ystalyfera.cylex-uk.co.uk/company/ace-coin-equipment-ltd-22274227.html,"Finance Ystalyfera,Financial Services Ystalyfera,Accounting & Bookkeeping Ystalyfera,Finance,Financial Services,Accounting & Bookkeeping,Business & Professional Services,Dormant Companies"
Burnant Shooting Ground Limited,BURNANT SHOOTING GROUND LIMITED,05700734,England/Wales,Bryncoed Bungalow Treforgan Road Crynant Neath West Glamorgan SA10 8PP,99999 - Dormant Company,07 Feb 2006,Private Limited Company,BRYNCOED BUNGALOW TREFORGAN ROAD ,SA10 8PW,Crynant ,Neath Port Talbot Wales,51.740299,-3.752261,01639 881185,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Dormant Companies,NA,NA,NA,NA,NA,NA,NA,https://crynant.cylex-uk.co.uk/company/burnant-shooting-ground-limited-21134346.html,"Finance Crynant,Financial Services Crynant,Accounting & Bookkeeping Crynant,Finance,Financial Services,Accounting & Bookkeeping,Business & Professional Services,Dormant Companies"
A B Plastics Ltd,A B PLASTICS LTD,07703638,England/Wales,NA,99999 - Dormant Company,13 Jul 2011,Private Limited Company,"UNIT 8 GURNOS IND EST, BETHEL ROAD ",SA9 2HW,Ystalyfera ,Neath Port Talbot Wales,51.772036,-3.779565,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Dormant Companies,NA,NA,NA,NA,NA,NA,NA,https://ystalyfera.cylex-uk.co.uk/company/a-b-plastics-ltd-22264273.html,"Finance Ystalyfera,Financial Services Ystalyfera,Accounting & Bookkeeping Ystalyfera,Finance,Financial Services,Accounting & Bookkeeping,Business & Professional Services,Dormant Companies"
Dolomite Training,DOLOMITE TRAINING LIMITED,07975131,England/Wales,Unit 11 Molyneux Business Park Whitworth Road Darley Dale Derbyshire DE4 2HJ,85510 - Sports and recreation education,05 Mar 2012,Private Limited Company,"Fairfield, Wye Bank ",DE45 1BH,Bakewell ,Derbyshire England,53.208781,-1.669711,01629 814557,07784 005097,NA,www.dolomitetraining.co.uk,NA,NA,"Caving Courses, Climbing Courses, First Aid Training, Mountain Biking Courses, Outdoor Activities, Abseiling","Sports Coaching, Sports Instruction, Short Breaks, Mountain Biking, Adventure Holidays, Caving, Outdoor Adventure, Leadership Training, Education, Training, Amusement and Recreation Services, Recreation & Fitness, Team Building, First Aid, Outdoors, Rock Climbing, Dolomite, 1st Aid, Adventurous Activities, Nnas, Sponsored Events, Caving Peak District, Caving Trips, Climbing Peak District, Efaw Courses, Manangement Training, Mountain Bike Skills Courses, Navigation Courses in The Peak District, Outdoor Activites, School Staff Training",NA,NA,Rudge Steve,"01629 814557,07784005097",NA,NA,"Bank transfer,Cash,Cheque,PayPal,Online Banking,Invoice","https://www.facebook.com/Dolomitetraining,https://twitter.com/intent/user?screen_name=dolomiteuk&original_referer=https%3a%2f%2fbakewell.cylex-uk.co.uk%2fcompany%2fdolomite-training-17773847.html",NA,08:00 - 18:00,08:00 - 18:00,09:00 - 17:00,09:00 - 17:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,https://bakewell.cylex-uk.co.uk/company/dolomite-training-17773847.html,"Sports & Recreation Bakewell,Indoor & Outdoor Activities Bakewell,Outdoor Sports & Activities Bakewell,Sports & Recreation,Indoor & Outdoor Activities,Outdoor Sports & Activities,Sports & Recreation,Sports & Recreation Instruction,Sports Coaching & Training,Business & Professional Services,Business Consultants,Business & Management Consultants,Travel & Tourism,Travel Agents"
J Harris,NA,NA,NA,NA,NA,NA,NA,"Baran Rd, Coedcae Mawr Farm",SA8 4RR,Rhydyfro ,Neath Port Talbot Wales,51.726569,-3.845174,01792 863326,01792 863326,NA,,NA,NA,NA,"Accountants, Accounting, Bookkeeping, Accountancy, Financial Services, Farming, Livestock, Animal Farming, Farmers, Livestock Farming, Financial, Tax, Farming Livestock and Other Animals",NA,NA,NA,NA,NA,NA,,NA,NA,08:30 - 20:30,08:30 - 20:30,08:30 - 20:30,Closed,08:30 - 20:30,08:30 - 20:30,08:30 - 20:30,https://rhydyfro.cylex-uk.co.uk/company/j-harris-15637442.html,"Agriculture & Forestry Rhydyfro,Farming Rhydyfro,Farms Rhydyfro,Agriculture & Forestry,Farming,Farms,Finance,Financial Services,Accounting & Bookkeeping"
Celebrity Greetings Limited,CELEBRITY GREETINGS LIMITED,07826372,England/Wales,C/O C/O Beever & Struthers St Georges House 215-219 Chester Road Manchester M15 4JE,99999 - Dormant Company,27 Oct 2011,Private Limited Company,"WYE HOUSE, WATER STREET ",DE45 1EW,Bakewell ,Derbyshire England,53.212939,-1.673466,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Dormant Companies,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/celebrity-greetings-limited-20244564.html,"Business & Professional Services Bakewell,Dormant Companies Bakewell,Business & Professional Services,Dormant Companies"
William Hill,William Hill,NA,NA,NA,NA,NA,NA,Bridge St/ Water Lane ,DE45 1DS,Bakewell ,Derbyshire England,53.213322,-1.674379,0870 518 1715,NA,NA,www.williamhill.com,NA,NA,"Online Casino Games, Athletics Betting, Backgammon, Baseball Betting, Basketball Betting, Boxing Betting, Card Games, Casino Games, Cricket Betting, Cycling Betting, Dice & Table Games, Domino Games, Financial Betting, Football Betting, Golf Betting, Horse Racing Betting, Jackpots Games, Lottery, Motor Racing Betting, Online Betting, Online Bingo, Online Slot Games, Play Online Poker, Roulette, Snooker Betting, Tennis Betting, Video Poker, Sports Betting","Dominoes Games, Online Casino Game",NA,NA,NA,NA,NA,NA,"Maestro,MasterCard,PayPal,Visa","https://twitter.com/intent/user?screen_name=WillHillBet&original_referer=https%3a%2f%2fbakewell.cylex-uk.co.uk%2fcompany%2fwilliam-hill-18846873.html,https://www.youtube.com/user/williamhillNews",NA,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,10:00 - 18:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,https://bakewell.cylex-uk.co.uk/company/william-hill-18846873.html,"Arts, Entertainment & Nightlife Bakewell,Best Bookmakers Bakewell,Arts, Entertainment & Nightlife,Bookmakers"
Diamond Court Ltd,DIAMOND COURT LTD,05753595,England/Wales,05/04/2007 - EMBER CONSULTANTS (UK) LIMITED,82110 - Combined office administrative service activities,23 Mar 2006,Private Limited Company,"Diamond House, Water Street ",DE45 1EW,Bakewell ,Derbyshire England,53.213117,-1.674418,01629 812991,01629 815401,NA,www.elbahair.com,NA,Dentures,"children, cosmetic dentistry, crown work, dental bridgework, dental hygienists, dental implants, dentures, endodontics, gum treatments, invisible dental braces, mercury free fillings, orthodontists, preventative dentistry, private dentistry, restorative dentistry, root canal treatment, teeth whitening, tooth coloured fillings, veneers, anti-snoring devices, Denplan, Finance options available, children's dentistry, Gum Treatment","Office Management, Office Administration Services, Administrative Services, Local Business, Health, Centres, Business Centre, Serviced Office Space, Orthodontics, Child, Dental Bridge Work, Anti Snoring Device, Crown Works",NA,NA,NA,NA,"disabled parking, disabled wc, wheelchair access, car parking",NA,"Cash,Debit Card","https://www.facebook.com/diamondcourtdental,https://twitter.com/intent/user?screen_name=templatemonster&original_referer=https%3a%2f%2fbakewell.cylex-uk.co.uk%2fcompany%2fdiamond-court-ltd-21260373.html,https://www.linkedin.com/company/templatemonster-com,https://www.pinterest.com/templatemonster/","Dentist, Medical Centre, Dental Clinic, Orthodontist, Dental Hygienist",NA,NA,09:00 - 12:30,Closed,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/diamond-court-ltd-21260373.html,"Business & Professional Services Bakewell,Secretarial Services Bakewell,Business & Professional Services,Secretarial Services,Business & Professional Services,Office Design, Planning & Management"
Mciver Rhodes Financial Care Planning,NA,NA,NA,NA,NA,NA,NA,"DIAMOND COURT, WATER STREET ",DE45 1EW,Bakewell ,Derbyshire England,53.213013,-1.674406,01629 815010,07711 068983,01629 815010,,NA,NA,NA,"Financial Planning, Financial Advisory, Independent Financial Advisers, Financial Advisors, Independent Financial Advisor, Financial Consultants, Financial Planners, Investment Advice, Financial Accountant, Financial Services, Business Consultants, Independent, Adviser, Fins",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/mciver-rhodes-financial-care-planning-14489709.html,"Finance Bakewell,Financial Consultants Bakewell,Finance,Financial Consultants"
Girasole Import/Export Limited,GIRASOLE IMPORT/EXPORT LIMITED,07633927,England/Wales,Diamond Court Water Street Bakewell Derbyshire DE45 1EW,96090 - Other service activities n.e.c.,13 May 2011,Private Limited Company,"DIAMOND COURT, WATER STREET ",DE45 1EW,Bakewell ,Derbyshire England,53.212737,-1.675772,NA,NA,NA,,NA,NA,NA,"Personal Services, Business Support Services",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/girasole-import-export-limited-21380384.html,"Community & Government Bakewell,Charities & Voluntary Organisations Bakewell,Construction & Contractors,Cleaning Services,Carpet Cleaners,Community & Government,Charities & Voluntary Organisations,Business & Professional Services,Personal Services"
Peak Plant Supports Limited,PEAK PLANT SUPPORTS LIMITED,07587511,England/Wales,1St Floor Office 8-10 Stamford Hill London N16 6XZ England,96090 - Other service activities n.e.c.,01 Apr 2011,Private Limited Company,"DIAMOND COURT, WATER STREET ",DE45 1EW,Bakewell ,Derbyshire England,53.212737,-1.675772,NA,NA,NA,,NA,NA,NA,"Personal Services, Business Support Services",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/peak-plant-supports-limited-21882375.html,"Community & Government Bakewell,Charities & Voluntary Organisations Bakewell,Construction & Contractors,Cleaning Services,Carpet Cleaners,Community & Government,Charities & Voluntary Organisations,Business & Professional Services,Personal Services"
Tideswell Welding Services Limited,TIDESWELL WELDING SERVICES LIMITED,06785758,England/Wales,NA,25110 - Manufacture of metal structures and parts of structures,08 Jan 2009,Private Limited Company,"DIAMOND COURT, WATER STREET ",DE45 1EW,Bakewell ,Derbyshire England,53.212737,-1.675772,NA,NA,NA,,NA,NA,NA,"Manufacture of Metal Structures, Metal Fabrication, Metal Products Manufacturer",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/tideswell-welding-services-limited-22139247.html,"Industry & Manufacturing Bakewell,Steel Fabricators & Erectors Bakewell,Industry & Manufacturing,Steel Fabricators & Erectors"
National Westminster Bank PLC,NA,NA,NA,NA,NA,NA,NA,1 Water Lane,DE45 1YY,Bakewell ,Derbyshire England,53.213287,-1.674613,0845 302 9413,NA,NA,,NA,NA,NA,"Bank, Warehousing & Storage",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/national-westminster-bank-plc-19907927.html,"Finance Bakewell,Banking Services Bakewell,Banks & ATMs Bakewell,Finance,Banking Services,Banks & ATMs"
Gb Hauliers Limited,GB HAULIERS LIMITED,06921610,England/Wales,NA,49410 - Freight transport by road,02 Jun 2009,Private Limited Company,"DIAMOND COURT, WATER STREET ",DE45 1EW,Bakewell ,Derbyshire England,53.212737,-1.675772,NA,NA,NA,,NA,NA,NA,"Road Haulage, Road Freight",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/gb-hauliers-limited-21372482.html,"Transportation Bakewell,Ground Transportation Bakewell,Road Haulage & Freight Forwarding Bakewell,Transportation,Ground Transportation,Road Haulage & Freight Forwarding"
David George Kegworth Limited,DAVID GEORGE KEGWORTH LIMITED,06847013,England/Wales,NA,96020 - Hairdressing and other beauty treatment,16 Mar 2009,Private Limited Company,"DIAMOND COURT, WATER STREET ",DE45 1EW,Bakewell ,Derbyshire England,53.212737,-1.675772,NA,NA,NA,,NA,NA,NA,"Beauty Salon, Beauty Treatments",NA,NA,NA,NA,NA,NA,,NA,Hairdressers,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/david-george-kegworth-limited-21245187.html,"Beauty & Personal Care Bakewell,Beauty Salons Bakewell,Beauty & Personal Care,Beauty Salons"
NatWest - BAKEWELL ATM,NatWest,GB-145096858,NA,NA,NA,NA,NA,1 Water Lane,DE45 1YY,Bakewell ,Derbyshire England,53.213541,-1.674625,01792 244609,0345 788 8444,NA,personal.natwest.com/personal.html,NA,NA,Currency on demand,Bank,NA,NA,NA,NA,Saturday opening,NA,"Cash,Debit Card","https://www.facebook.com/NatWest,https://twitter.com/intent/user?screen_name=NatWest_Help&original_referer=https%3a%2f%2fbakewell.cylex-uk.co.uk%2fcompany%2fnatwest---bakewell-atm-16311870.html",NA,09:00 - 16:30,09:00 - 16:30,09:00 - 12:30,Closed,09:00 - 16:30,09:00 - 16:30,09:30 - 16:30,https://bakewell.cylex-uk.co.uk/company/natwest---bakewell-atm-16311870.html,"Finance Bakewell,Banking Services Bakewell,Banks & ATMs Bakewell,Finance,Banking Services,Banks & ATMs,Finance,Insurance,Insurance Agents & Companies,Finance,Mortgages,Mortgage Lenders,Finance,Financial Services,Finance,Financial Consultants"
David George Bakewell Limited,DAVID GEORGE BAKEWELL LIMITED,06847047,England/Wales,NA,96020 - Hairdressing and other beauty treatment,16 Mar 2009,Private Limited Company,"Diamond Court, Water Street ",DE45 1EW,Bakewell ,Derbyshire England,53.213115,-1.674744,01629 813713,07848 442746,NA,www.bakewellinteriors.co.uk,NA,NA,Building Completion,"Beauty Salon, Beauty Treatments",NA,NA,NA,NA,NA,NA,,NA,Hairdressers,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/david-george-bakewell-limited-21245186.html,"Beauty & Personal Care Bakewell,Beauty Salons Bakewell,Beauty & Personal Care,Beauty Salons"
Jolly Pots,NA,NA,NA,NA,NA,NA,NA,3 Water Ln ,DE45 1EU,Bakewell ,Derbyshire England,53.213169,-1.674314,01629 813085,NA,NA,m.facebook.com/pages/jolly-pots/231711160531284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"https://www.facebook.com/Leafnottingham,https://twitter.com/intent/user?screen_name=leafgifts&original_referer=https%3a%2f%2fbakewell.cylex-uk.co.uk%2fcompany%2fjolly-pots-26454076.html",NA,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,11:00 - 16:30,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,https://bakewell.cylex-uk.co.uk/company/jolly-pots-26454076.html,
Bean & Bag,NA,NA,NA,NA,NA,NA,NA,Water St ,DE45 1EU,Bakewell ,Derbyshire England,53.213105,-1.674679,01629 812999,NA,NA,bakewellonline.co.uk/place/388/thebean&bagcafe.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,https://www.facebook.com/The-Bean-Bag-168088193250197/about/,NA,08:30 - 16:00,08:30 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:30 - 16:00,08:30 - 16:00,https://bakewell.cylex-uk.co.uk/company/bean---bag-26911629.html,
Granby Gallery,NA,NA,NA,NA,NA,NA,NA,WATER LANE ,DE45 1EU,Bakewell ,Derbyshire England,53.213541,-1.674625,01629 813050,01629 814868,NA,,NA,NA,NA,"Fine Art Gallery, Art Galleries and Fine Art Dealers, Fine Art Dealers, Art Dealers",NA,NA,NA,NA,NA,NA,,NA,Art Gallery,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/granby-gallery-13250057.html,"Arts, Entertainment & Nightlife Bakewell,Visual Arts Bakewell,Art Galleries Bakewell,Arts, Entertainment & Nightlife,Visual Arts,Art Galleries,Arts, Entertainment & Nightlife,Arts & Crafts,Picture Framing Services"
WHSmith,NA,NA,NA,NA,NA,NA,NA,Whsmith Bakewell Local Water Lane ,DE45 1EU,Bakewell ,Derbyshire England,53.213505,-1.674590,01629 812689,NA,NA,www.whsmith.co.uk,NA,"books, ebooks, photo albums, photo frames, cards, gifts, toys, games, magazines, Stationery",NA,"Gift Shop, Bookshop",NA,NA,NA,NA,national lottery,NA,"American Express,Maestro,MasterCard,PayPal,Visa,Diners Club","https://www.facebook.com/WHSmithuk,https://twitter.com/intent/user?screen_name=WHSmith&original_referer=https%3a%2f%2fbakewell.cylex-uk.co.uk%2fcompany%2fwhsmith-23751168.html,https://www.youtube.com/user/WHSmithDirect,https://www.pinterest.com/whsmithcouk/,https://instagram.com/whsmithofficial/",NA,07:30 - 17:00,07:30 - 17:00,07:30 - 17:00,08:00 - 16:00,07:30 - 17:00,07:30 - 17:00,07:30 - 17:00,https://bakewell.cylex-uk.co.uk/company/whsmith-23751168.html,"Arts, Entertainment & Nightlife Bakewell,Arts & Crafts Bakewell,Arts & Crafts Supplies & Shops Bakewell,Arts, Entertainment & Nightlife,Arts & Crafts,Arts & Crafts Supplies & Shops,Shopping & Retail,Gifts & Novelties,Gift Shops,Shopping & Retail,Bookshops,Shopping & Retail,Stationery Shops,Media & Communications,Newspapers & Magazines"
Gf and Co Interiors,NA,NA,NA,NA,NA,NA,NA,3 Water Ln ,DE45 1EU,Bakewell ,Derbyshire England,53.213169,-1.674314,01629 812009,NA,NA,,NA,Furniture,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Furniture Shop,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,https://bakewell.cylex-uk.co.uk/company/gf-and-co-interiors-19137873.html,"Home & Garden Bakewell,Furniture Bakewell,Furniture Shops Bakewell,Home & Garden,Furniture,Furniture Shops"
Proper Pasty Co,NA,NA,NA,NA,NA,NA,NA,3 Water St ,DE45 1EU,Bakewell ,Derbyshire England,53.213105,-1.674679,01629 813456,NA,NA,www.properpasty.co.uk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,11:00 - 14:30,11:00 - 14:30,11:00 - 16:00,11:00 - 16:00,11:00 - 14:30,11:00 - 14:30,11:00 - 14:30,https://bakewell.cylex-uk.co.uk/company/proper-pasty-co-26917723.html,
Bakewell Stationers Ltd,NA,NA,NA,NA,NA,NA,NA,Water Lane ,DE45 1EU,Bakewell ,Derbyshire England,53.213505,-1.674590,01629 812689,NA,NA,www.gtnews.com,NA,"Magazines, Newspaper, Stationery, Greeting Cards, Office Stationery, Envelopes, Scratch Cards","Mobile Top-Up Cards, National Lottery, Paypoint - Bill Payment, Scratch Cards, Euromillions, Health Lottery, Dry cleaning, Newspapers, Magazines, Greeting cards, Parcel collect and delivery, Stationary, Back to school stationary, envelopes","Mobile Top up Cards, Newsagents, Newsstand, News Agency, Newspaper Stationery, Paypoint Bill Payment",NA,NA,NA,NA,NA,NA,"Maestro,MasterCard,Visa",NA,NA,07:30 - 17:00,07:30 - 17:00,07:30 - 17:00,08:30 - 17:00,07:30 - 17:00,07:30 - 17:00,07:30 - 17:00,https://bakewell.cylex-uk.co.uk/company/bakewell-stationers-ltd-19295338.html,"Media & Communications Bakewell,Newspapers & Magazines Bakewell,Media & Communications,Newspapers & Magazines"
G N Digital Ltd,G N DIGITAL LTD,06211432,England/Wales,17/05/2011 - TURNSEK CONSULTING LIMITED,70229 - Management consultancy activities other than financial management,13 Apr 2007,Private Limited Company,"DIAMOND COURT, WATER STREET ",DE45 1EW,Bakewell ,Derbyshire England,53.212737,-1.675772,NA,NA,NA,,NA,NA,NA,"Management Consultants, Financial Management, Business Consultants",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/g-n-digital-ltd-21364349.html,"Business & Professional Services Bakewell,Business Consultants Bakewell,Business & Management Consultants Bakewell,Business & Professional Services,Business Consultants,Business & Management Consultants"
Chris Mason Limited,CHRIS MASON LIMITED,07062255,England/Wales,Diamon Court Water Street Bakewell Derbyshire DE45 1EW,49410 - Freight transport by road,30 Oct 2009,Private Limited Company,"DIAMON COURT, WATER STREET ",DE45 1EW,Bakewell ,Derbyshire England,53.212737,-1.675772,NA,NA,NA,,NA,NA,NA,"Road Haulage, Road Freight",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/chris-mason-limited-21179274.html,"Transportation Bakewell,Ground Transportation Bakewell,Road Haulage & Freight Forwarding Bakewell,Transportation,Ground Transportation,Road Haulage & Freight Forwarding"
Bloomers Original Bakewell Puddings Ltd,NA,NA,NA,NA,NA,NA,NA,Water St ,DE45 1EU,Bakewell ,Derbyshire England,53.213105,-1.674679,01629 814844,NA,NA,www.bloomersofbakewell.co.uk,NA,"Bakery Products, Pastry, Speciality Cakes, Desserts, Meat Products, Cakes, Meats",Dog Grooming,"Bakery, Bakers' Shops, Bakers, Bakery Shops, Church, Butchers, Bookshop, Food Manufacturers, Butcher Shop, Steakhouse, Manufactures, Enterprise Agency, Meat Industry",NA,NA,NA,NA,NA,NA,,https://www.facebook.com/bloomersbakewell/,"Builders, Kennels",09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,10:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,https://bakewell.cylex-uk.co.uk/company/bloomers-original-bakewell-puddings-ltd-15827923.html,"Food & Beverages Bakewell,Food Products Bakewell,Best Bakeries Bakewell,Food & Beverages,Food Products,Bakeries"
